Figure Panel,Bar,"Correlation Ratio
Data Set 1","Correlation Ratio
Data Set 2","Correlation Ratio
Data Set 3","Correlation Ratio
Data Set 4","Correlation Ratio
Data Set 5"
,"TL-Multi
(Aux: EUR, Tar; SAS)",0.3063,0.1750,0.3554,0.3197,0.2391
,"PRS-CSx
(Aux: EUR, Tar: SAS)",0.5507,0.6163,0.4539,0.5565,0.4523
,"PROSPER
(Aux: EUR, Tar: SAS)",0.5121,0.5436,0.4256,0.4424,0.4180
,"SBayesRC-Multi
(Aux: EUR, Tar: SAS)",0.5362,0.5116,0.4303,0.5090,0.4373
,"MPP-GWAS
(Aux: EUR, Tar: SAS)",0.4697,0.5725,0.4245,0.4970,0.5445
,"MPP-GWAS-TarSS
(Aux: EUR, Tar: SAS)",0.5484,0.6261,0.4565,0.4843,0.4263
,"MPP-PRS
(Aux: EUR, Tar: SAS)",0.4637,0.5311,0.3230,0.4032,0.4162
,"MPP-PRS+
(Aux: EUR, Tar: SAS)",0.4466,0.4770,0.3271,0.3619,0.4911
,"PRS-CSx
(Aux: EUR+EAS, Tar: SAS)",0.5464,0.6027,0.4508,0.5496,0.4524
,"PROSPER
(Aux: EUR+EAS, Tar: SAS)",0.5420,0.4520,0.4441,0.4850,0.4236
,"SBayesRC-Multi
(Aux: EUR+EAS, Tar: SAS)",0.5573,0.5055,0.4986,0.5209,0.4415
,"MPP-GWAS
(Aux: EUR+EAS, Tar: SAS)",0.5128,0.5667,0.4464,0.5180,0.5730
,"MPP-GWAS-TarSS
(Aux: EUR+EAS, Tar: SAS)",0.5494,0.6282,0.4647,0.5092,0.4351
,"MPP-PRS
(Aux: EUR+EAS, Tar: SAS)",0.4691,0.5357,0.3207,0.4061,0.4154
,"MPP-PRS+
(Aux: EUR+EAS, Tar: SAS)",0.4740,0.5063,0.3803,0.4045,0.4908
,"MPP-GWAS-Admix
(Aux: EUR+EAS, Tar: SAS)",0.4854,0.5763,0.4356,0.5107,0.5669
,"PRS-CSx
(Aux: EUR+EAS+AMR, Tar: SAS)",0.5303,0.5936,0.4445,0.5427,0.4466
,"PROSPER
(Aux: EUR+EAS+AMR, Tar: SAS)",0.5492,0.5838,0.4597,0.5488,0.4537
,"SBayesRC-Multi
(Aux: EUR+EAS+AMR, Tar: SAS)",0.5403,0.5276,0.5126,0.5472,0.4564
,"MPP-GWAS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.5337,0.5785,0.4467,0.5245,0.5753
,"MPP-GWAS-TarSS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.5556,0.6297,0.4687,0.5118,0.4384
,"MPP-PRS
(Aux: EUR+EAS+AMR, Tar: SAS)",0.4724,0.5372,0.3221,0.4166,0.4193
,"MPP-PRS+
(Aux: EUR+EAS+AMR, Tar: SAS)",0.4944,0.5233,0.3885,0.3966,0.4740
,"MPP-GWAS-Admix
(Aux: EUR+EAS+AMR, Tar: SAS)",0.4974,0.5772,0.4382,0.5146,0.5742
,"PRS-CSx
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.5270,0.5954,0.4341,0.5326,0.4359
,"PROSPER
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.5722,0.6060,0.4562,0.5429,0.4910
,"SBayesRC-Multi
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.5562,0.5453,0.5259,0.5565,0.4818
,"MPP-GWAS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.5326,0.5836,0.4514,0.5403,0.5834
,"MPP-GWAS-TarSS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.5553,0.6322,0.4694,0.5147,0.4314
,"MPP-PRS
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.4726,0.5376,0.3232,0.4134,0.4181
,"MPP-PRS+
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.4924,0.5354,0.3864,0.3995,0.4794
,"MPP-GWAS-Admix
(Aux: EUR+EAS+AMR+AFR, Tar: SAS)",0.5033,0.5772,0.4405,0.5211,0.5778
