,SET 1.1.4,0.3747,0.4617,0.4948,0.3593,SET 1.2.4,0.5909,0.5885,0.5886,0.5879,,SET 2.1.4,0.4556,0.2852,0.2765,0.2675,SET 2.2.4,0.6737,0.6991,0.6922,0.6918
,SET 1.1.5,0.4490,0.4707,0.5009,0.2415,SET 1.2.5,0.7226,0.7148,0.7053,0.6964,,SET 2.1.5,0.1412,0.1635,0.1913,0.1912,SET 2.2.5,0.5912,0.5861,0.5841,0.5844
,AVERAGE,0.4061,0.4004,0.4166,0.3259,AVERAGE,0.6875,0.6891,0.6852,0.6804,,AVERAGE,0.2562,0.2190,0.1970,0.2064,AVERAGE,0.4993,0.5029,0.5025,0.5019
,STD DEV,0.1594,0.1545,0.1485,0.1445,STD DEV,0.0708,0.0762,0.0737,0.0709,,STD DEV,0.1554,0.0988,0.0752,0.0589,STD DEV,0.1780,0.1839,0.1767,0.1771
,"Admix Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Admix Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",,"Admix Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Admix Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.1514,0.1632,0.1916,0.1801,SET 1.2.1,0.6346,0.6325,0.6320,0.6310,,SET 2.1.1,0.2397,0.2442,0.2403,0.2409,SET 2.2.1,0.4254,0.4275,0.4261,0.4254
,SET 1.1.2,0.4818,0.3642,0.3649,0.3089,SET 1.2.2,0.7535,0.7539,0.7538,0.7503,,SET 2.1.2,0.0791,0.0781,0.0776,0.0942,SET 2.2.2,0.5819,0.5801,0.5793,0.5795
,SET 1.1.3,0.5738,0.5811,0.5735,0.5790,SET 1.2.3,0.7359,0.7518,0.7548,0.7556,,SET 2.1.3,0.3655,0.3529,0.2431,0.2774,SET 2.2.3,0.2244,0.2234,0.2225,0.2225
,SET 1.1.4,0.3747,0.4262,0.4738,0.4451,SET 1.2.4,0.5909,0.5898,0.5896,0.5893,,SET 2.1.4,0.4556,0.4391,0.4025,0.3851,SET 2.2.4,0.6737,0.6741,0.7001,0.7001
,SET 1.1.5,0.4490,0.4357,0.4810,0.3827,SET 1.2.5,0.7226,0.7222,0.7194,0.7162,,SET 2.1.5,0.1412,0.1552,0.1860,0.1804,SET 2.2.5,0.5912,0.5888,0.5880,0.5881
,AVERAGE,0.4061,0.3941,0.4170,0.3792,AVERAGE,0.6875,0.6900,0.6899,0.6885,,AVERAGE,0.2562,0.2539,0.2299,0.2356,AVERAGE,0.4993,0.4988,0.5032,0.5031
,STD DEV,0.1594,0.1516,0.1461,0.1490,STD DEV,0.0708,0.0746,0.0751,0.0746,,STD DEV,0.1554,0.1456,0.1175,0.1086,STD DEV,0.1780,0.1778,0.1847,0.1849
,,,,,,,,,,,,,,,,,,,,,
MPP-PRS+,"Sample Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Sample Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",MPP-PRS+,"Genetic Dist Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Genetic Dist Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.6678,0.6890,0.6951,0.6955,SET 1.2.1,0.8176,0.8236,0.8255,0.8255,,SET 2.1.1,0.7766,0.7535,0.7457,0.7345,SET 2.2.1,0.8200,0.8250,0.8215,0.8169
,SET 1.1.2,0.7397,0.7359,0.7394,0.7396,SET 1.2.2,0.7890,0.7974,0.8001,0.8006,,SET 2.1.2,0.6583,0.6524,0.6479,0.6532,SET 2.2.2,0.7960,0.7950,0.7912,0.7875
,SET 1.1.3,0.5910,0.6022,0.6058,0.6066,SET 1.2.3,0.8037,0.8102,0.8112,0.8112,,SET 2.1.3,0.7562,0.7551,0.7300,0.7109,SET 2.2.3,0.8324,0.8268,0.8238,0.8192
,SET 1.1.4,0.7244,0.7317,0.7326,0.7328,SET 1.2.4,0.7705,0.7753,0.7758,0.7760,,SET 2.1.4,0.7122,0.7209,0.7327,0.8044,SET 2.2.4,0.8084,0.8084,0.8067,0.8042
,SET 1.1.5,0.5880,0.6207,0.6281,0.6279,SET 1.2.5,0.7792,0.7828,0.7843,0.7844,,SET 2.1.5,0.4580,0.4462,0.4394,0.4439,SET 2.2.5,0.8111,0.8063,0.8029,0.7906
,AVERAGE,0.6622,0.6759,0.6802,0.6805,AVERAGE,0.7920,0.7979,0.7994,0.7995,,AVERAGE,0.6723,0.6656,0.6591,0.6694,AVERAGE,0.8136,0.8123,0.8092,0.8037
,STD DEV,0.0715,0.0620,0.0607,0.0606,STD DEV,0.0189,0.0197,0.0200,0.0199,,STD DEV,0.1281,0.1295,0.1288,0.1372,STD DEV,0.0136,0.0134,0.0135,0.0146
,"Equal Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Equal Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR",,"Equal Weighing
#Tar: 100",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR","Equal Weighing
#Tar: 1000",EUR,EUR-EAS,"EUR-EAS-
AMR","EUR-EAS-
AMR-AFR"
,SET 1.1.1,0.6678,0.7222,0.7421,0.7492,SET 1.2.1,0.8176,0.8179,0.8212,0.8105,,SET 2.1.1,0.7766,0.6574,0.6112,0.5951,SET 2.2.1,0.8200,0.8074,0.7627,0.7610
,SET 1.1.2,0.7397,0.6514,0.6706,0.6655,SET 1.2.2,0.7890,0.8113,0.8085,0.8063,,SET 2.1.2,0.6583,0.5865,0.5177,0.4485,SET 2.2.2,0.7960,0.7699,0.7362,0.7215
,SET 1.1.3,0.5910,0.5956,0.6073,0.6255,SET 1.2.3,0.8037,0.8088,0.8025,0.7936,,SET 2.1.3,0.7562,0.6218,0.4636,0.4369,SET 2.2.3,0.8324,0.7815,0.7583,0.7567
