,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
,EurEas,0.7948246366,0.04640266005,0.8843447964,0.005373972666,0.8331987814,0.005349005227,0.6483976584,0.01514331694,0.8425811259,0.004809280288,0.6215058452,0.01287926679,0.6244468693,0.01183798107,0.7521287756,0.01727232834,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EurAfr,0.7971080373,0.04350139762,0.8738262129,0.02605831152,0.8265514426,0.004500584212,0.6437946136,0.01259656039,0.8357943341,0.004888708565,0.6215058452,0.01287926679,0.6249865293,0.01150608775,0.7524595147,0.01998181616,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EasAmr,0.7933909078,0.04448881808,0.8738851154,0.02752951072,0.8240168569,0.007790535447,0.6420011583,0.01958031397,0.8388995849,0.00543895867,0.6215058452,0.01287926679,0.6244625716,0.01168953043,0.7454398354,0.01353596021,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EasAfr,0.7981890809,0.04417237582,0.8855865072,0.00800619606,0.8400886718,0.00880266276,0.6448107653,0.01669387872,0.8414007504,0.008512405413,0.6215058452,0.01287926679,0.6244594513,0.01234671308,0.7477173579,0.0147299745,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,AmrAfr,0.7972687999,0.04070969709,0.8877420951,0.0052875613,0.8206186119,0.009425601154,0.6365348991,0.01828462651,0.8356484064,0.005404722558,0.6215058452,0.01287926679,0.6240950161,0.01168620672,0.7434005796,0.01395020486,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EurEasAmr,0.7946315705,0.04440359696,0.8768077078,0.02871984149,0.8348806576,0.005091628023,0.6447981404,0.01733721252,0.8442530343,0.006352788573,0.6215058452,0.01287926679,0.6197935871,0.01240599374,0.7710777604,0.01581297747,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EurEasAfr,0.7983718192,0.04462880079,0.8913182896,0.004718661531,0.8363078645,0.00486626591,0.6466501024,0.01473488815,0.8489536154,0.004392204808,0.6215058452,0.01287926679,0.6196736678,0.01275756339,0.7752227987,0.01871097744,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EurAmrAfr,0.7977053675,0.04131642217,0.89163721,0.004013218921,0.8270196153,0.007477827081,0.6414094573,0.01612706954,0.8403775887,0.004779800697,0.6215058452,0.01287926679,0.6190122954,0.0113009727,0.7720608196,0.01651473079,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EasAmrAfr,0.7980899924,0.04222060153,0.8891293262,0.01152946436,0.8255860104,0.007397395899,0.6419869806,0.01839111837,0.8477520324,0.00399446213,0.6215058452,0.01287926679,0.619619308,0.0120794207,0.770496236,0.01395695193,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
,EurEasAmrAfr,0.7984259996,0.04293999089,0.8802000815,0.02983893706,0.8378526288,0.00434562972,0.6444058157,0.01672860057,0.8497160137,0.004276389561,0.6215058452,0.01287926679,0.6166155493,0.01258274414,0.788238499,0.01439294618,0.604104317,0.01470562668,0.8170976595,0.008790694426,--,--
"Heritability
1.0",EurOnly,0.8429706208,0.03418218593,0.9419517623,0.003045182875,--,--,0.6496519082,0.03175831055,0.8621014329,0.01066979942,0.6326402741,0.03293190144,0.6655801432,0.02755788773,0.7406633991,0.02839163502,0.6366217236,0.03150294029,0.8676019689,0.01054830646,0.4329997211,0.03371649039
,EasOnly,0.8354514446,0.0352258464,0.9424238491,0.005133383456,--,--,0.6517983196,0.03189544025,0.8642134009,0.008769522493,0.6326402741,0.03293190144,0.6668522979,0.02795936882,0.7310612394,0.03259152574,0.6366217236,0.03150294029,0.8676019689,0.01054830646,0.4431011014,0.05179604928
,AmrOnly,0.8407159406,0.03515125564,0.9458816213,0.003102935666,--,--,0.6501594926,0.02851091737,0.8609978416,0.007464201765,0.6326402741,0.03293190144,0.6655857208,0.02904463532,0.7399740479,0.02508611839,0.6366217236,0.03150294029,0.8676019689,0.01054830646,--,--
,AfrOnly,0.8417578562,0.03581038337,0.9471194963,0.002698746989,--,--,0.6515893697,0.03370810554,0.8680006581,0.01306408692,0.6326402741,0.03293190144,0.6648520396,0.02673633963,0.7318188366,0.03040036102,0.6366217236,0.03150294029,0.8676019689,0.01054830646,0.43346773,0.02448904847
,EurAmr,0.8445928178,0.03401033969,0.9522686667,0.004408590717,0.8633778728,0.008412256443,0.6535063611,0.02929353599,0.8729469496,0.008029874838,0.6326402741,0.03293190144,0.6574836116,0.02642114122,0.7736765549,0.02331762098,0.6366217236,0.03150294029,0.8676019689,0.01054830646,--,--
,EurEas,0.8449873464,0.03361931018,0.953643604,0.00336027642,0.8696499069,0.009234997751,0.654987734,0.0311672894,0.8717940019,0.01008342802,0.6326402741,0.03293190144,0.6570850667,0.02657271924,0.7759260653,0.02483927848,0.6366217236,0.03150294029,0.8676019689,0.01054830646,--,--
,EurAfr,0.8456794305,0.03297527414,0.9558980434,0.002854612214,0.8662643511,0.009539260344,0.6534407046,0.0323502833,0.8779430802,0.0100835346,0.6326402741,0.03293190144,0.6580442253,0.02620850994,0.7751274073,0.029378945,0.6366217236,0.03150294029,0.8676019689,0.01054830646,--,--
,EasAmr,0.8431105085,0.03530704831,0.9529314064,0.005445803942,0.8633231924,0.008359863192,0.6545641065,0.03014472193,0.8712437018,0.007713794759,0.6326402741,0.03293190144,0.6570063767,0.02751277432,0.7740499383,0.02209264218,0.6366217236,0.03150294029,0.8676019689,0.01054830646,--,--
