"Area under PR Curve
(Average Precision)",,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+,,Area under ROC,,,Baseline GWAS,PROSPER,"Lassosum2-
ExtLD",PRSCSX,TL-Multi,SBayesRC,"SBayesRC-
multi","Random
Classifier","Lassosum-
TrueLD",MultiPopPred-GWAS,MultiPopPred-GWAS-TarSS,MultiPopPred-GWAS-Admixture,MultiPopPred-PRS,MultiPopPred-PRS+
,,Validation R2,0.300009597,0.387333294,0.301893746,0.302474074,0.305569769,0.206949326,0.232949194,0.218443308,0.3054418223,0.3039064372,NA,0.3039194467,0.3019989701,0.3028687119,,,,Validation R2,0.626433615,0.687702563,0.628124229,0.626648892,0.626512615,0.488615020,0.526290426,0.505209105,0.6275317237,0.626834543,NA,0.626824668,0.626461265,0.6264178146
,,Testing R2,0.239672150,0.244912492,0.238865208,0.236250018,0.241014435,0.224569930,0.217247639,0.208417339,0.2403402462,0.2401562754,NA,0.2401499464,0.2395149242,0.2385775824,,,,Testing R2,0.535500543,0.538467179,0.531788780,0.525649410,0.533594128,0.498555326,0.495907747,0.489310599,0.5326944266,0.5329916847,NA,0.5329500686,0.5306849619,0.528386166
,Standard Deviation,Training R2,0.330015424,0.294250238,0.306670797,0.160190505,0.000770628,0.069695024,0.009717106,0.00460546,0.005228928191,0.00203307164,NA,0.001595427647,0.001850122139,0.06498409475,,,Standard Deviation,Training R2,0.243820504,0.259912027,0.281031551,0.161281509,0.004615955,0.019710917,0.099883117,0.007435768,0.002084495243,0.003107010649,NA,0.003843588213,0.00510646664,0.1659355511
,,Validation R2,0.004205482,0.095606871,0.004629958,0.004583302,0.001221623,0.003786406,0.019669838,0.005269852,0.004683910674,0.005022891555,NA,0.005190736683,0.004845642722,0.008611490137,,,,Validation R2,0.007458544,0.069214155,0.005740043,0.007846700,0.007532874,0.014083898,0.025580399,0.007972745,0.005699703323,0.006203983772,NA,0.006041185399,0.007911297253,0.002441179755
,,Testing R2,0.001786549,0.010552197,0.004922693,0.001914926,0.000861411,0.015096315,0.014789075,0.016146583,0.002067787303,0.001763390587,NA,0.00168726241,0.0004220139171,0.0003539079316,,,,Testing R2,0.009098274,0.018161591,0.008821112,0.002898279,0.004314747,0.027977827,0.033253229,0.028584381,0.005763757994,0.005456007953,NA,0.005538853444,0.003429479023,0.005533145643
AnyCVD,Data Set 1,Training R2,0.970706970,0.669073060,0.790274473,0.543308617,0.446987503,0.851986267,0.456212194,0.258019644,0.4024504634,0.447545764,NA,0.4486183077,0.4444002426,0.845384126,,AnyCVD,Data Set 1,Training R2,0.986763468,0.851949839,0.899436845,0.775519017,0.718991007,0.934217144,0.716587410,0.508912466,0.6879770646,0.7206245359,NA,0.7205771801,0.7194191898,0.9309849022
,,Validation R2,0.457027797,0.509004847,0.451243463,0.446674585,0.449146591,0.254349974,0.273821224,0.254706148,0.4466217794,0.445442619,NA,0.44542268,0.4436923616,0.4534955399,,,,Validation R2,0.732854962,0.751402933,0.729259198,0.727264507,0.728211320,0.508093128,0.538072011,0.504797898,0.7276953601,0.7273868478,NA,0.7280570641,0.7281155751,0.7298974995
,,Testing R2,0.425539081,0.416663426,0.420506149,0.415427504,0.406525028,0.262612267,0.261340246,0.256217061,0.4056937588,0.4145547865,NA,0.4116609191,0.4142260986,0.4206747642,,,,Testing R2,0.688433707,0.676815423,0.686603429,0.686842161,0.684852729,0.528273810,0.517952636,0.505538579,0.6852983618,0.6877493422,NA,0.6859827264,0.6863328665,0.6844548425
,Data Set 2,Training R2,0.919641635,0.896832855,0.896832855,0.464443587,0.431994459,0.883488258,0.345451979,0.246003991,0.5195870218,0.427668338,NA,0.4295935166,0.4361481813,0.4918999058,,,Data Set 2,Training R2,0.966820394,0.956464318,0.956464318,0.730756868,0.711194456,0.945965349,0.619419520,0.492730303,0.7653371834,0.706231169,NA,0.7081324973,0.7126756868,0.748456728
,,Validation R2,0.492769546,0.510170933,0.510170933,0.479090785,0.474621848,0.253747710,0.263621451,0.251060294,0.4789504656,0.4800203607,NA,0.48039224,0.480586359,0.4813228373,,,,Validation R2,0.727243230,0.728392172,0.728392172,0.723408103,0.726604929,0.498489354,0.521944266,0.500082447,0.7276421683,0.7307911212,NA,0.7281208943,0.7237964032,0.7235144868
